csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
asinh_n6d4_s1_uniform_rational_ulp.csv,asinh,rational,6d4,1,fp32,35019.00,3.32,1,[-10.0,10.0]
asinh_n7d2_s1_uniform_rational_ulp.csv,asinh,rational,7d2,1,fp32,91672.00,3.32,1,[-10.0,10.0]
asinh_n7d6_s1_uniform_rational_ulp.csv,asinh,rational,7d6,1,fp32,2429.00,3.54,1,[-10.0,10.0]
asinh_n8d3_s1_uniform_rational_ulp.csv,asinh,rational,8d3,1,fp32,91672.00,3.31,1,[-10.0,10.0]
asinh_n8d7_s1_uniform_rational_ulp.csv,asinh,rational,8d7,1,fp32,2429.00,3.55,1,[-10.0,10.0]
asinh_n9d1_s1_uniform_rational_ulp.csv,asinh,rational,9d1,1,fp32,959127.00,3.34,1,[-10.0,10.0]
asinh_n9d5_s1_uniform_rational_ulp.csv,asinh,rational,9d5,1,fp32,4970.00,3.55,1,[-10.0,10.0]
asinh_p10_s2_uniform_any_ulp.csv,asinh,poly,10,2,fp32,959763.00,3.62,1,[-10.0,10.0]
asinh_p12_s1_uniform_any_ulp.csv,asinh,poly,12,1,fp32,667680.00,3.19,1,[-10.0,10.0]
asinh_p15_s1_uniform_any_ulp.csv,asinh,poly,15,1,fp32,326650.00,3.53,1,[-10.0,10.0]
asinh_p1_s2_uniform_any_ulp.csv,asinh,poly,1,2,fp32,4796564.00,2.97,1,[-10.0,10.0]
asinh_p1_s8_uniform_any_ulp.csv,asinh,poly,1,8,fp32,1420652.00,4.85,1,[-10.0,10.0]
asinh_p2_s32_uniform_any_ulp.csv,asinh,poly,2,32,fp32,71002.00,17.91,1,[-10.0,10.0]
asinh_p3_s16_uniform_any_ulp.csv,asinh,poly,3,16,fp32,42673.50,10.50,1,[-10.0,10.0]
asinh_p3_s32_uniform_any_ulp.csv,asinh,poly,3,32,fp32,7330.00,19.12,1,[-10.0,10.0]
asinh_p4_s16_uniform_any_ulp.csv,asinh,poly,4,16,fp32,42673.50,10.50,1,[-10.0,10.0]
asinh_p4_s32_uniform_any_ulp.csv,asinh,poly,4,32,fp32,7330.00,19.12,1,[-10.0,10.0]
asinh_p5_s16_uniform_any_ulp.csv,asinh,poly,5,16,fp32,6257.00,10.88,1,[-10.0,10.0]
asinh_p5_s4_uniform_any_ulp.csv,asinh,poly,5,4,fp32,637566.00,4.10,1,[-10.0,10.0]
asinh_p6_s2_uniform_any_ulp.csv,asinh,poly,6,2,fp32,2185335.00,3.18,1,[-10.0,10.0]
asinh_p7_s1_uniform_any_ulp.csv,asinh,poly,7,1,fp32,1418344.00,3.11,1,[-10.0,10.0]
asinh_p7_s8_uniform_any_max.csv,asinh,poly,7,8,fp32,32808.50,7.52,1,[-10.0,10.0]
asinh_p8_s32_uniform_any_ulp.csv,asinh,poly,8,32,fp32,7330.00,19.89,1,[-10.0,10.0]
asinh_p9_s2_uniform_any_ulp.csv,asinh,poly,9,2,fp32,959763.00,3.60,1,[-10.0,10.0]
atan_p10_s2_uniform_any_ulp.csv,atan,poly,10,2,fp32,4651.00,3.60,1,[-1.5707963267948966,1.5707963267948966]
atan_p12_s1_uniform_any_ulp.csv,atan,poly,12,1,fp32,1482.00,3.18,1,[-1.5707963267948966,1.5707963267948966]
atan_p1_s16_uniform_any_ulp.csv,atan,poly,1,16,fp32,15107.50,8.95,1,[-1.5707963267948966,1.5707963267948966]
atan_p1_s3_uniform_any_ulp.csv,atan,poly,1,3,fp32,1854239.00,3.16,1,[-1.5707963267948966,1.5707963267948966]
atan_p2_s1_uniform_any_ulp.csv,atan,poly,2,1,fp32,1854239.00,2.86,1,[-1.5707963267948966,1.5707963267948966]
atan_p2_s4_uniform_any_ulp.csv,atan,poly,2,4,fp32,460381.00,3.49,1,[-1.5707963267948966,1.5707963267948966]
atan_p3_s2_uniform_any_ulp.csv,atan,poly,3,2,fp32,353154.50,3.09,1,[-1.5707963267948966,1.5707963267948966]
atan_p3_s4_uniform_any_ulp.csv,atan,poly,3,4,fp32,33561.50,3.86,1,[-1.5707963267948966,1.5707963267948966]
atan_p4_s2_uniform_any_ulp.csv,atan,poly,4,2,fp32,353154.50,3.09,1,[-1.5707963267948966,1.5707963267948966]
atan_p4_s8_uniform_any_ulp.csv,atan,poly,4,8,fp32,1635.50,6.69,1,[-1.5707963267948966,1.5707963267948966]
