2026-06-23 18:24:24.914 | DEBUG    | ttnn:<module>:79 - Initial ttnn.CONFIG:
Config{cache_path=/home/mvasiljev/.cache/ttnn,model_cache_path=/home/mvasiljev/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2026-06-23 18:24:30.045 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.047 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.048 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.049 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.051 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.053 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.054 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.056 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.058 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.059 | warning  |             UMD | Low power mode is disabled while UMD holds open file descriptors. The device will return to low power mode once all file descriptors are closed. (topology_discovery.cpp:143)
2026-06-23 18:24:30.091 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:96)
2026-06-23 18:24:30.143 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 23 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.143 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 23 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.144 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 31 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.144 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 31 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.144 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 15 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.144 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 15 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.145 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 18 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.145 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 18 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.146 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 7 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.146 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 7 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.146 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 26 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.146 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 26 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.147 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 10 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.147 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 10 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.148 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 3 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.148 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 3 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.148 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 17 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.148 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 17 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.149 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 6 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
