GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
117763,,,3,blackhole,,1,110,,,216,40226,1442302093964,1442302148269,39684,1442302094546,1442302148120,39579,1442302094689,1442302148120,39469,20416,38953,38796,39045,,1465129,1465269
118787,,,3,blackhole,,110,110,,,176,2621,1442302301088,1442302304627,2031,1442302301737,1442302304479,2019,1442302301753,1442302304479,1984,1565,1573,273,390,,113784,113788
119811,,,3,blackhole,,1,110,,,204,44641,1442302354734,1442302415000,44099,1442302355316,1442302414849,43993,1442302355459,1442302414849,43895,26653,43350,43209,43466,,37657,37763
120835,,,3,blackhole,,110,110,,,181,2623,1442302418930,1442302422471,2044,1442302419564,1442302422324,2044,1442302419564,1442302422324,2006,1570,1557,275,377,,3492,3492
121859,,,3,blackhole,,110,110,,,190,5967,1442308110680,1442308118736,5383,1442308111322,1442308118589,5379,1442308111328,1442308118589,5340,4329,4410,4936,4121,,4214102,4214454
122883,0,1,3,blackhole,,1,110,,,216,44688,1442326901227,1442326961556,44173,1442326901775,1442326961409,44022,1442326901979,1442326961409,43957,27006,43422,43284,43507,,13913366,13913552
122883,0,2,3,blackhole,,1,110,,,179,44867,1442328687157,1442328747728,44324,1442328687743,1442328747580,44211,1442328687895,1442328747580,44145,27019,43567,43440,43692,,14825,14938
122883,0,3,3,blackhole,,1,110,,,210,44685,1442330466279,1442330526604,44159,1442330466842,1442330526457,44016,1442330467036,1442330526457,43949,26795,43369,43276,43518,,14066,14210
122883,0,4,3,blackhole,,1,110,,,173,44541,1442332253306,1442332313436,43995,1442332253894,1442332313287,43869,1442332254064,1442332313287,43822,26851,43244,43105,43359,,14154,14280
122883,0,5,3,blackhole,,1,110,,,206,44800,1442334050671,1442334111151,44283,1442334051222,1442334111004,44144,1442334051410,1442334111004,44077,26978,43510,43401,43636,,23984,24124
