name,src_file,src_line,zone_name,zone_text,ns_since_start,exec_time_ns,thread,special_parent_text
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186588021,19420,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186607671,20270,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186628171,19191,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186647592,19290,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186667122,19250,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186686612,19541,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186706383,19300,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186725923,19861,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186746024,19790,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186766054,19300,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186785594,19131,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186804965,19650,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186824855,19760,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186844845,20101,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186865186,19030,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186884446,20450,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186905136,20101,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186925477,19770,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186945487,19161,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186964878,19650,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186984768,19060,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187004058,20281,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187024579,19960,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187044779,19740,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187064759,19241,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187084240,19640,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187104110,19210,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187123560,33311,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187157101,22930,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187180261,21951,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187202442,22170,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187224852,22421,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187247513,21520,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11187269263,22010,1,
PY_FUNC__compile_info,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/sre_compile.py,586,,,1550301971,1040,1,
PY_FUNC__compile_info,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/sre_compile.py,586,,,4129804140,1080,1,
PY_FUNC__compile_info,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/sre_compile.py,586,,,4131240506,1121,1,
PY_FUNC__compile_info,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/sre_compile.py,586,,,4134683429,1150,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,4145430955,900,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,5853012021,1060,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,5949443838,1110,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,5973781851,900,1,
