Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                   Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
651    2.4 %         ReshapeViewDeviceOperation                      0       178 μs          1 μs    110                                                       BF16 => BF16
652    1.0 %         NlpCreateHeadsDeviceOperation                   0        74 μs          1 μs     32                                                       BF16 => BF16
653    0.0 %         SliceDeviceOperation                            0         1 μs          1 μs      8                                                       BF16 => BF16
654    0.0 %         SliceDeviceOperation                            0         1 μs          1 μs      8                                                       BF16 => BF16
655    0.8 %         RotaryEmbeddingDeviceOperation                  0        57 μs          0 μs    110                                                 BF16, BF16 => BF16
656    1.4 %         RotaryEmbeddingDeviceOperation                  0       103 μs          0 μs    110                                                 BF16, BF16 => BF16
657    0.2 %         SliceDeviceOperation                            0        11 μs          0 μs    110                                                       BF16 => BF16
658    0.5 %         SliceDeviceOperation                            0        37 μs          1 μs    110                                                       BF16 => BF16
659    0.0 %         SliceDeviceOperation                            0         1 μs          1 μs     32                                                       BF16 => BF16
660    0.0 %         SliceDeviceOperation                            0         1 μs          1 μs     32                                                       BF16 => BF16
661    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
662    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
663    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
664    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
665    0.0 %         SliceDeviceOperation                            0         2 μs          1 μs     32                                                       BF16 => BF16
666    0.0 %         SliceDeviceOperation                            0         2 μs          1 μs     32                                                       BF16 => BF16
667    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
668    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
669    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
670    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
671    0.0 %         SliceDeviceOperation                            0         2 μs          1 μs     32                                                       BF16 => BF16
672    0.0 %         SliceDeviceOperation                            0         2 μs          1 μs     32                                                       BF16 => BF16
673    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
674    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
675    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
676    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
677    0.0 %         SliceDeviceOperation                            0         2 μs          1 μs     32                                                       BF16 => BF16
678    0.0 %         SliceDeviceOperation                            0         2 μs          1 μs     32                                                       BF16 => BF16
679    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
680    0.0 %         TypecastDeviceOperation                         0         2 μs          1 μs     32                                                       BF16 => BFP8
